GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count
AC011939.1	23.5													
AC011979.1	1.25													
AC012065.2	4.75													
AC012066.1	2.75													
AC012158.1	80.5													
AC012170.1	4.25													
AC012184.2	0.0													
AC012186.1	3.5													
AC012213.5	119.75													
AC012254.2	83.5													
AC012254.4	9.75													
AC012309.1	27.75													
AC012314.13	424.25													
AC012358.3	40.75													
AC012433.1	0.0													
AC012435.2	1131.25													
AC012441.1	43.75													
AC012441.2	9.25													
AC012488.2	0.0													
AC012513.2	134.75													
AC012519.1	0.0													
AC012569.1	34.0													
AC012618.1	3.75													
AC012618.2	33.25													
AC012618.3	33.5													
AC012651.1	122.25													
AC013244.2	0.25													
AC013262.1	4.0													
AC013268.1	3.0													
AC013271.1	123.0													
AC013355.1	2.25													
AC013356.1	2.75													
AC013394.1	436.75													
AC013399.1	2.0													
AC013404.1	2.75													
AC013429.1	0.25													
AC013439.1	2.75													
AC013452.2	3.25													
AC013467.3	44.25													
AC013470.2	83.5													
AC013474.1	58.25													
AC013476.1	2.5													
AC013489.1	4.25													
AC013553.1	21.5													
AC013553.2	7.5													
AC015688.4	0.0													
AC015720.3	0.5													
AC015802.6	2529.25													
AC015813.2	1320.25													
AC015818.5	8.25													
AC015849.6	7.25													
AC015910.1	11.5													
AC015911.4	28.25													
AC015911.7	114.75													
AC015911.8	134.25													
AC015912.2	6.0													
AC015977.1	0.75													
AC016027.5	11.75													
AC016065.2	8.75													
AC016546.1	1.0													
AC016559.2	8.25													
AC016559.3	1.5													
AC016582.1	26.5													
AC016582.2	15.5													
AC016582.3	173.25													
AC016629.3	132.0													
AC016687.1	1.25													
AC016700.1	0.0													
AC016734.1	5.75													
AC016739.1	12.75													
AC016769.1	0.0													
AC016769.3	1.5													
AC016831.3	3.75													
AC016894.1	90.25													
AC016954.1	16.25													
AC016957.1	3.5													
AC016999.2	14.75													
AC017002.2	2.75													
AC017007.4	2.5													
AC017083.3	7.5													
AC017099.1	35.5													
AC017104.2	0.0													
AC017104.4	7.25													
AC017104.5	2.0													
AC018362.3	145.5													
AC018442.1	13.5													
AC018442.3	1.25													
AC018475.1	0.0													
AC018523.1	5.0													
AC018523.2	0.0													
AC018630.1	1.25													
AC018630.2	22.5													
AC018635.1	43.25													
AC018638.1	2.0													
AC018638.2	127.25													
AC018638.3	7.0													
AC018638.4	850.5													
AC018638.5	147.0													
AC018638.8	43.25													
AC018644.1	131.25													
AC018695.1	1.25													
AC018714.1	0.25													
AC018755.2	0.0													
AC018797.1	2.25													
AC018797.2	22.5													
AC018865.2	1.75													
AC018868.1	9.25													
AC018868.2	10.75													
AC018992.1	4.25													
AC019072.1	20.25													
AC019084.1	5.5													
AC019117.4	0.75													
AC019176.3	1.5													
AC019181.1	1.5													
AC019206.1	17.0													
AC019257.8	5.5													
AC019288.1	3.25													
AC020550.1	1.25													
AC020612.1	2.75													
AC020633.1	7.25													
AC020658.1	1.5													
AC020688.1	12.25													
AC020728.1	31.5													
AC020779.1	183.25													
AC020899.1	2.75													
AC020904.1	3.25													
AC020904.2	10.75													
AC020910.3	5.0													
AC020910.4	3.0													
AC020914.5	6.25													
AC020915.1	74.25													
AC020915.5	44.0													
AC020917.1	4.25													
AC021006.2	0.5													
AC021074.1	2.75													
AC021087.2	8.0													
AC021106.1	40.75													
AC021106.2	5.25													
AC021148.1	14.5													
AC021171.1	3.75													
AC021171.2	4.5													
AC021231.2	1.75													
AC021443.3	4.25													
AC021660.3	2.0													
AC021723.1	1.0													
AC022001.1	2.5													
AC022018.1	37.5													
AC022022.2	2.0													
AC022034.2	0.75													
AC022069.1	5.75													
AC022080.2	118.25													
AC022137.3	20.5													
AC022149.1	530.0													
AC022182.3	63.0													
AC022215.1	6.5													
AC022336.1	5.5													
AC022384.1	621.75													
AC022400.4	0.0													
AC022400.7	434.25													
AC022414.1	8.5													
AC022415.2	35.25													
AC022432.1	0.25													
AC022447.4	0.25													
AC022493.1	62.25													
AC022493.2	2.25													
AC022506.1	0.75													
AC022730.2	1.75													
AC022748.2	2.5													
AC022826.1	21.0													
AC022826.2	0.0													
AC022916.4	0.75													
AC022968.1	0.0													
AC022973.2	29.75													
AC023050.1	3.0													
AC023050.3	0.0													
AC023050.5	45.0													
AC023051.2	18.0													
AC023055.1	665.75													
AC023141.4	3.25													
AC023194.2	0.75													
AC023206.1	13.25													
AC023271.2	1.75													
AC023389.3	71.0													
AC023424.1	4.0													
AC023490.5	2.75													
AC023491.2	3.0													
AC023509.5	11.0													
AC023512.1	0.0													
AC023513.1	2.75													
AC023632.1	3.5													
AC023794.5	56.5													
AC023813.2	9.25													
AC023825.1	22.5													
AC023906.1	2.75													
AC023934.1	4.0													
AC024067.1	4.5													
AC024270.1	31.25													
AC024293.1	4.25													
AC024405.2	2.0													
AC024451.1	13.75													
AC024451.2	32.0													
AC024451.3	14.75													
AC024558.1	3.5													
AC024560.2	27.75													
AC024568.1	170.75													
AC024592.3	50.5													
AC024937.1	14.25													
AC024940.2	17.5													
AC024940.3	7.5													
AC024940.4	19.5													
AC024940.7	23.5													
AC025030.1	0.75													
AC025040.2	0.0													
AC025165.3	17.25													
AC025165.6	0.0													
AC025181.1	1.0													
AC025186.1	1.5													
AC025198.1	5.75													
AC025271.1	1.25													
AC025279.2	14.75													
AC025283.1	2.5													
AC025283.2	0.0													
AC025287.4	12.5													
AC025423.2	0.0													
AC025449.1	10.5													
AC025458.1	0.0													
AC025459.1	1.75													
AC025518.1	5.75													
AC025588.1	2.0													
AC025678.1	14.0													
AC025678.2	8.5													
AC025755.1	2.75													
AC025884.1	112.0													
AC025884.2	7.5													
AC026111.1	5.25													
AC026117.1	13.25													
AC026120.1	4.0													
AC026150.3	26.5													
AC026271.3	0.5													
AC026316.1	1.75													
AC026316.4	28.75													
AC026348.1	17.75													
AC026402.1	1.25													
AC026403.1	6.25													
AC026410.1	4.5													
AC026410.2	0.25													
AC026412.1	276.75													
AC026412.2	1.5													
AC026427.2	2.75													
AC026436.1	1.25													
AC026458.1	4.5													
AC026462.1	3.75													
AC026464.4	37.0													
AC026464.5	7.75													
AC026477.1	0.0													
AC026740.3	5.25													
AC026786.1	29.5													
AC026877.1	70.5													
AC026954.2	13.5													
AC027104.1	3.0													
AC027176.2	12.5													
AC027455.1	12.75													
AC027544.1	20.0													
AC027559.1	124.0													
AC027575.1	44.25													
AC027601.1	106.75													
AC027612.2	21.5													
AC027644.1	2.25													
AC027644.2	17.75													
AC027644.4	135.25													
AC027763.1	1.5													
AC027796.2	6.25													
AC027796.3	74.0													
AC034102.1	1.25													
AC034105.3	25.5													
AC034207.1	0.75													
AC034236.1	257.0													
AC036176.2	73.25													
AC037479.1	3.25													
AC037487.3	0.25													
AC040162.1	1085.5													
AC040162.2	1.25													
AC040169.2	5.0													
AC040975.1	21.5													
AC040978.1	132.75													
AC044787.1	2.0													
AC044860.1	82.5													
AC046144.1	1.5													
AC046185.2	5.0													
AC048338.1	0.0													
AC048338.2	86.5													
AC048351.2	6.5													
AC051619.1	61.0													
AC051619.2	14.0													
AC055733.1	9.0													
AC055733.3	6.75													
AC055811.2	5.0													
AC055839.1	24.5													
AC055839.2	300.0													
AC055876.4	1.0													
AC058823.1	1.5													
AC060766.1	18.25													
AC060766.5	9.5													
AC060773.1	2.5													
AC060780.2	0.75													
AC060780.3	1.25													
AC061975.3	0.0													
AC062037.4	38.75													
AC063924.1	2.75													
AC063950.1	16.75													
AC063952.1	24.75													
AC063952.2	5.25													
AC063976.2	106.5													
AC063977.1	0.0													
AC064799.1	1.0													
AC064847.1	4.25													
AC064862.6	1.25													
AC067752.1	62.25													
AC067904.2	0.5													
AC067942.1	45.25													
AC067968.1	0.5													
AC068044.1	55.0													
AC068050.1	1.75													
AC068134.3	23.0													
AC068279.1	16.25													
AC068446.1	7.75													
AC068491.1	34.25													
AC068522.1	1.0													
AC068533.4	21.0													
AC068547.1	186.75													
AC068580.4	38.0													
AC068587.8	0.0													
AC068620.3	336.25													
AC068631.3	0.0													
AC068647.1	3.75													
AC068657.2	5.25													
AC068775.1	5.25													
AC068790.1	8.25													
AC068790.8	0.0													
AC068831.8	236.25													
AC068896.3	29.25													
AC068946.1	47.25													
